epoch,encoder_lr,decoder_lr,train_ce_loss,train_dice_loss,train_loss,train_dice,val_ce_loss,val_dice_loss,val_loss,val_dice
1,1.0000000000000002e-06,1e-05,3.848833138247331,4.895089337229729,4.371961276978254,0.5290195354701623,0.3127134770328348,0.549538153180209,0.4311258151921359,0.8682499015639258
2,2.0000000000000003e-06,2e-05,2.589450278133154,4.441224858661493,3.515337605215609,0.8696655106903227,0.279954053281654,0.5387328135837208,0.40934343336928974,0.9040862607969518
3,3.0000000000000005e-06,3.0000000000000004e-05,2.2938425078988076,4.327685935795307,3.3107642537914215,0.9156593704389202,0.25124302818341687,0.5290888324564154,0.39016593025814406,0.9027782216670289
4,4.000000000000001e-06,4e-05,2.0425235175838075,4.214232943455378,3.1283782635815442,0.9300529011490721,0.23114948596629228,0.5239652789375999,0.3775573825641112,0.9226082039627241
5,5e-06,5e-05,1.7711260898659626,4.10890845656395,2.940017310110852,0.9425583753596853,0.19659332505898042,0.5123347515799782,0.3544640385541049,0.9263770533806419
6,6.000000000000001e-06,6.000000000000001e-05,1.5033566504716873,3.983858212828636,2.743607464525849,0.94496094694844,0.16535856718583541,0.5027811203696511,0.33406984358917585,0.9369560352568046
7,7.000000000000001e-06,7e-05,1.2709281343966723,3.8733539233605065,2.572141049942002,0.9424788733185442,0.1349200453275984,0.49324763164520263,0.31408383859937844,0.9416909004455413
8,8.000000000000001e-06,8e-05,1.0375345792621373,3.76251449684302,2.4000245619099587,0.9508496867009887,0.11659244284846566,0.48676832971572875,0.3016803864067251,0.9510283514272225
9,9e-06,9e-05,0.8484834837727249,3.6620829487840334,2.2552832311950626,0.9515611189934943,0.09381248294169253,0.4788407886505127,0.28632663570967587,0.9506937949071429
10,1e-05,0.0001,0.7031451974995434,3.5869954859217006,2.1450703627662735,0.9551104757382913,0.07595384143590928,0.47213377514752475,0.2740438081112775,0.9518128579218428
11,9.991120277927222e-06,9.990232305719945e-05,0.57724893623963,3.4714100380738575,2.0243295032065363,0.957822614935813,0.06558411541960456,0.4680491068406539,0.2668166112758897,0.950445629180314
12,9.964516155915152e-06,9.960967771506667e-05,0.49072871562093495,3.440992785493533,1.9658607711782679,0.9604220117131869,0.05470552206608382,0.46310517071810636,0.2589053463307294,0.9535947843231601
13,9.920292628279101e-06,9.91232189110701e-05,0.4244975329221537,3.38828991651535,1.906393744284287,0.958450171454913,0.04268612071058967,0.45907229935039173,0.25087921001748603,0.9556119473071615
14,9.858624225078841e-06,9.844486647586725e-05,0.3743154042089979,3.3248395894964538,1.849577511381358,0.9570558868624545,0.039243605464967815,0.4567886353145946,0.24801612046577715,0.9529354530644192
15,9.779754323328192e-06,9.757729755661011e-05,0.3257119762400786,3.279034339884917,1.8023731782333925,0.960236368438712,0.03463292888619683,0.45434352326826616,0.24448822608373383,0.9482214606420115
16,9.683994186497132e-06,9.652393605146844e-05,0.29319793422861645,3.253486148516337,1.7733420576201753,0.9627101057105594,0.030266123606941916,0.45274437678077006,0.24150525018301877,0.9570208807072713
17,9.571721736097089e-06,9.528893909706797e-05,0.26230350381229073,3.2100161790847777,1.7361598551040516,0.9625872912230317,0.02283939865610816,0.4502104181289673,0.23652490828416564,0.9573605554111898
18,9.443380060197387e-06,9.387718066217124e-05,0.2425291448443507,3.1995695412158964,1.7210493572289125,0.96031671916997,0.020340782652253454,0.4493027798132463,0.23482178121805192,0.9585829495297116
19,9.299475664759068e-06,9.229423231234974e-05,0.23038380423095078,3.1779256785909333,1.7041547598782927,0.9557853110566865,0.018429754919084634,0.44863762777501887,0.2335336911792105,0.9596041928013693
20,9.140576474687265e-06,9.05463412215599e-05,0.20603369964907567,3.169197936852773,1.687615834060125,0.9603123156284845,0.019637127095054496,0.4487284270199862,0.23418277714902705,0.9597265315740194
21,8.967309592491052e-06,8.864040551740158e-05,0.18910165186971425,3.1734736839930218,1.6812876868760214,0.962919050924204,0.015147607882727275,0.44723146034587513,0.2311895341103727,0.9588779012003222
22,8.780358823396352e-06,8.658394705735987e-05,0.18591368206155798,3.179184405008952,1.6825490629300475,0.963360471913108,0.013849996111000126,0.44697649042823095,0.23041324331652036,0.9575373309874099
23,8.580461976679099e-06,8.438508174347009e-05,0.1727622203528881,3.148288837571939,1.6605255471076816,0.9532750206413091,0.012266657098111781,0.44633886489868163,0.22930276105891575,0.9575180206313191
24,8.368407953869105e-06,8.205248749256015e-05,0.16022390842748185,3.166940238078435,1.6635820894036442,0.9618726423493139,0.013431259284100749,0.4466650045568293,0.23004813219633968,0.9596722431817258
25,8.14503363531613e-06,7.959536998847742e-05,0.1498185859255803,3.1394510025779407,1.6446348125115038,0.963190124211488,0.012587747919153083,0.446978373224085,0.22978306061381643,0.9570198531258056
26,7.911220577405485e-06,7.702342635146033e-05,0.15335928758528705,3.1103146662314733,1.6318369910353794,0.9652412151848828,0.01030407953899015,0.44548022480010985,0.22789215215552938,0.9610268593596494
27,7.667891533457718e-06,7.43468068680349e-05,0.14727873675292358,3.113166643679142,1.6302227040287107,0.9607373865114319,0.009431788209351626,0.44529944752779876,0.22736561784852635,0.9596500402718134
28,7.416006812042827e-06,7.15760749324711e-05,0.1382080021741179,3.123296553393205,1.630752296349965,0.9544278337447731,0.010133003384552218,0.445308396842263,0.2277207001908259,0.9585634013438566
29,7.1565604870810515e-06,6.872216535789157e-05,0.13040372362205138,3.0936629111568132,1.6120333346072584,0.960720815150826,0.009225866524536502,0.4450422582539645,0.22713406253240326,0.9622541873469498
