epoch,encoder_lr,decoder_lr,train_ce_loss,train_dice_loss,train_loss,train_dice,val_ce_loss,val_dice_loss,val_loss,val_dice
1,1.0000000000000002e-06,1e-05,2.67355508779486,4.644590345025063,3.6590727478265763,0.568859683472658,0.1969511709213257,0.5024142282192524,0.3496826994510797,0.871586500851351
2,2.0000000000000003e-06,2e-05,1.6248647066454092,4.235572871069113,2.930218818085268,0.8729731855224128,0.1603925312253145,0.48963720130920413,0.32501486628789167,0.9069119832179633
3,3.0000000000000005e-06,3.0000000000000004e-05,1.3376209935173393,4.090559063355128,2.7140900620725006,0.9010306260031131,0.13859254551850833,0.4784793207095219,0.30853593289852144,0.9176128099566652
4,4.000000000000001e-06,4e-05,1.1572759282464782,3.990160127480825,2.57371805110015,0.9188483565366554,0.12122035610675812,0.4708293825663053,0.2960248690843582,0.9239531146886844
5,5e-06,5e-05,0.9882876889780163,3.899418436984221,2.4438530882354828,0.9391970721659837,0.10832195741396684,0.46431403596584614,0.28631799667615154,0.9264871073966431
6,6.000000000000001e-06,6.000000000000001e-05,0.830570378775398,3.800360874334971,2.3154656482860445,0.9275650900170919,0.08783667355088087,0.45600164552835315,0.2719191593115146,0.9262623992995443
7,7.000000000000001e-06,7e-05,0.6974576904748877,3.711649304131667,2.2045535126701,0.946538307559159,0.07131985111419971,0.44699131653859064,0.2591555836567512,0.9444450735753755
8,8.000000000000001e-06,8e-05,0.5670693349714081,3.6176804453134537,2.09237490571104,0.9551869540302842,0.05878082753832524,0.4401355039523198,0.24945816578773353,0.9489375730903895
9,9e-06,9e-05,0.47328736543034516,3.517684611181418,1.9954860045108944,0.9552839528079387,0.05181331296608998,0.4364200920691857,0.2441167022723418,0.9477889838287655
10,1e-05,0.0001,0.39490772715459266,3.434441115955512,1.9146744366036728,0.9522433698384298,0.04140371854488666,0.4299449283893292,0.23567432332726626,0.9529249298874076
11,9.991120277927222e-06,9.990232305719945e-05,0.32602356558976076,3.3848381087183954,1.8554308523191139,0.9643894109461043,0.03189972753708179,0.42377242374420165,0.22783607576214351,0.957425638676084
12,9.964516155915152e-06,9.960967771506667e-05,0.2745947247526298,3.342849693198999,1.8087222216418013,0.9627667483356264,0.03170952314940783,0.42335484702770526,0.2275321852862835,0.9542078614843589
13,9.920292628279101e-06,9.91232189110701e-05,0.24475313105310004,3.2782966633637747,1.7615249153226613,0.9609694316293355,0.026190106428586518,0.4197607163649339,0.2229754114815822,0.9553408005844968
14,9.858624225078841e-06,9.844486647586725e-05,0.20705625304641823,3.286260482668877,1.7466583874775097,0.9617774267991384,0.02073666217751228,0.4175227698912987,0.21912971600431663,0.9599432842754936
15,9.779754323328192e-06,9.757729755661011e-05,0.18148645447411885,3.285890099902948,1.7336882940027862,0.9662394262574338,0.016522219343827322,0.41620794498003444,0.21636508207137767,0.9594877855896788
