Species,Modality,File Name,Dice,Time (s)
eucalyptus,rgb1,57.0_24725.0_4047.0.png,0.9588273191025721,11.87406957987696
eucalyptus,rgb1,57.0_24725.0_4049.0.png,0.9628983019534106,3.4915813133120537
eucalyptus,rgb1,57.0_24736.0_4047.0.png,0.9662738957396326,2.904606068972498
eucalyptus,rgb1,57.0_24736.0_4048.0.png,0.9670127776014097,2.835421313997358
eucalyptus,rgb1,57.0_24738.0_4047.0.png,0.98006117940731,2.8097870238125324
eucalyptus,rgb1,57.0_24738.0_4048.0.png,0.9809095984181229,2.7081192401237786
eucalyptus,rgb1,57.0_24739.0_4047.0.png,0.9453564307972422,2.70326487114653
eucalyptus,rgb1,57.0_24739.0_4048.0.png,0.9426293521182436,2.7495048409327865
eucalyptus,rgb1,57.0_24742.0_4047.0.png,0.9414385278685755,2.7003427953459322
eucalyptus,rgb1,57.0_24742.0_4048.0.png,0.9571524385345063,2.70973082492128
eucalyptus,rgb1,57.0_24748.0_4047.0.png,0.9225372823086289,2.7743910839781165
eucalyptus,rgb1,57.0_24748.0_4048.0.png,0.9184649015396407,2.7511568521149457
eucalyptus,rgb1,57.0_24749.0_4047.0.png,0.6872246702924567,2.7992458580993116
eucalyptus,rgb1,57.0_24749.0_4048.0.png,0.6223175969717623,2.982209073845297
eucalyptus,rgb1,57.0_24750.0_4047.0.png,0.945421623564967,2.770500324200839
eucalyptus,rgb1,57.0_24750.0_4048.0.png,0.9470213722972445,2.7375953076407313
eucalyptus,rgb1,57.0_24753.0_4047.0.png,0.9372433616207121,2.983476568944752
eucalyptus,rgb1,57.0_24753.0_4048.0.png,0.9479753941193195,2.8727250401861966
eucalyptus,rgb1,57.0_24764.0_4047.0.png,0.9704009165047258,2.783825377933681
eucalyptus,rgb1,57.0_24764.0_4048.0.png,0.9699159212386492,2.9823546363040805
eucalyptus,rgb1,57.0_24765.0_4047.0.png,0.9512297165958559,2.9661534219048917
eucalyptus,rgb1,57.0_24765.0_4048.0.png,0.9499044941798519,2.8007501866668463
eucalyptus,rgb1,57.0_24771.0_4047.0.png,0.9576530811564747,3.062106539029628
eucalyptus,rgb1,57.0_24771.0_4048.0.png,0.9609086229746142,2.7891852292232215
eucalyptus,rgb1,57.0_24772.0_4047.0.png,0.9690548708567207,2.8760222299024463
eucalyptus,rgb1,57.0_24772.0_4048.0.png,0.9690675792828375,2.9942713640630245
eucalyptus,rgb1,57.0_24774.0_4047.0.png,0.9668057521146266,3.258591078221798
eucalyptus,rgb1,57.0_24774.0_4048.0.png,0.9649163663368359,2.9394803843460977
eucalyptus,rgb1,57.0_24777.0_4047.0.png,0.9514223242476626,3.3331934344023466
eucalyptus,rgb1,57.0_24777.0_4048.0.png,0.9602356854939985,3.2550691571086645
eucalyptus,rgb1,57.0_24778.0_4047.0.png,0.9659290964306617,3.070801733992994
eucalyptus,rgb1,57.0_24778.0_4048.0.png,0.9674163332186808,3.271272222045809
eucalyptus,rgb1,57.0_24779.0_4047.0.png,0.9813187297553478,2.8544635330326855
eucalyptus,rgb1,57.0_24779.0_4048.0.png,0.9790526190288759,2.7364373789168894
eucalyptus,rgb1,57.0_24783.0_4047.0.png,0.9781546461045215,2.9011593740433455
eucalyptus,rgb1,57.0_24783.0_4048.0.png,0.9768983516729903,2.8427992560900748
eucalyptus,rgb1,57.0_24784.0_4047.0.png,0.9671542855121851,2.740742165595293
eucalyptus,rgb1,57.0_24784.0_4048.0.png,0.9629558689343715,2.7248586136847734
eucalyptus,rgb1,57.0_24796.0_4047.0.png,0.9531283700969461,2.728769738227129
eucalyptus,rgb1,57.0_24796.0_4048.0.png,0.9457826742588419,2.7204569298774004
eucalyptus,rgb1,57.0_24797.0_4047.0.png,0.9628644944460717,2.714854666031897
eucalyptus,rgb1,57.0_24797.0_4048.0.png,0.9435317424928598,2.713870375882834
eucalyptus,rgb1,57.0_24799.0_4047.0.png,0.8948151467627389,2.7089974619448185
eucalyptus,rgb1,57.0_24799.0_4048.0.png,0.9045840830554767,2.7175740473903716
eucalyptus,rgb1,57.0_24801.0_4047.0.png,0.9208070184956423,2.7065883446484804
eucalyptus,rgb1,57.0_24801.0_4048.0.png,0.9194494183906324,2.7093919957987964
eucalyptus,rgb1,57.0_24806.0_4047.0.png,0.9658509480703611,2.7542645600624382
