Species,Modality,File Name,Dice,Time (s)
eucalyptus,rgb1,57.0_24725.0_4047.0.png,0.9603484122577489,6.477488389238715
eucalyptus,rgb1,57.0_24725.0_4049.0.png,0.9642248289096831,6.447303747292608
eucalyptus,rgb1,57.0_24736.0_4047.0.png,0.9675655634119932,6.493466337677091
eucalyptus,rgb1,57.0_24736.0_4048.0.png,0.9682954723178754,6.459516265895218
eucalyptus,rgb1,57.0_24738.0_4047.0.png,0.9808121288944317,6.455552281811833
eucalyptus,rgb1,57.0_24738.0_4048.0.png,0.9818798818533147,6.497575605753809
eucalyptus,rgb1,57.0_24739.0_4047.0.png,0.9471356475483408,6.460276472847909
eucalyptus,rgb1,57.0_24739.0_4048.0.png,0.9440998852399238,6.448748053982854
eucalyptus,rgb1,57.0_24742.0_4047.0.png,0.9437322510549844,6.453105563297868
eucalyptus,rgb1,57.0_24742.0_4048.0.png,0.9589846889733066,6.439651874825358
eucalyptus,rgb1,57.0_24748.0_4047.0.png,0.9271864609410992,6.440966520924121
eucalyptus,rgb1,57.0_24748.0_4048.0.png,0.9235827366190493,6.457947777118534
eucalyptus,rgb1,57.0_24749.0_4047.0.png,0.8863636366864669,6.4439985221251845
eucalyptus,rgb1,57.0_24749.0_4048.0.png,0.8285714288163265,6.432782493997365
eucalyptus,rgb1,57.0_24750.0_4047.0.png,0.9473543387458072,6.42364916484803
eucalyptus,rgb1,57.0_24750.0_4048.0.png,0.9490179082762719,6.448162474203855
eucalyptus,rgb1,57.0_24753.0_4047.0.png,0.9388225776265623,6.496516078710556
eucalyptus,rgb1,57.0_24753.0_4048.0.png,0.9492967722001096,6.601525785867125
eucalyptus,rgb1,57.0_24764.0_4047.0.png,0.9722608319574743,6.628110088873655
eucalyptus,rgb1,57.0_24764.0_4048.0.png,0.9713384560288371,6.513451276812702
eucalyptus,rgb1,57.0_24765.0_4047.0.png,0.955075326285097,6.511045468039811
eucalyptus,rgb1,57.0_24765.0_4048.0.png,0.9549163091936429,6.536983459722251
eucalyptus,rgb1,57.0_24771.0_4047.0.png,0.9594420554841971,6.526402413845062
eucalyptus,rgb1,57.0_24771.0_4048.0.png,0.9617964597750328,6.528011333663017
eucalyptus,rgb1,57.0_24772.0_4047.0.png,0.9696245644371883,6.525958661921322
eucalyptus,rgb1,57.0_24772.0_4048.0.png,0.9704443663329959,6.502553749829531
eucalyptus,rgb1,57.0_24774.0_4047.0.png,0.9684097605829594,6.5752144628204405
eucalyptus,rgb1,57.0_24774.0_4048.0.png,0.9657351518448981,6.5246921558864415
eucalyptus,rgb1,57.0_24777.0_4047.0.png,0.9534981284838074,6.551453365013003
eucalyptus,rgb1,57.0_24777.0_4048.0.png,0.9625796815406968,6.523528215009719
eucalyptus,rgb1,57.0_24778.0_4047.0.png,0.9672240066578621,6.517148773185909
eucalyptus,rgb1,57.0_24778.0_4048.0.png,0.9694297083026377,6.5323377209715545
eucalyptus,rgb1,57.0_24779.0_4047.0.png,0.9819154232333083,6.506740312092006
eucalyptus,rgb1,57.0_24779.0_4048.0.png,0.9799663578761995,6.524709797929972
eucalyptus,rgb1,57.0_24783.0_4047.0.png,0.9792550916005511,6.5448825689964
eucalyptus,rgb1,57.0_24783.0_4048.0.png,0.9774530368629906,6.515694480855018
eucalyptus,rgb1,57.0_24784.0_4047.0.png,0.9681813357235616,6.5227307649329305
